secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,84,0.00991835,35.7061,0,0,-1.8,54.34794400,24.41545700,0,-4.03293,-255,0,-255,0,0,0,0,0,0,0,0
2,86,89,0.0118768,29.975,0,0,-1.64,54.34794100,24.41547440,0,8.16956,-255,0,-255,0,0,0,0,0,0,0,0
3,86,89,0.0138353,24.2439,0,0,-1.48,54.34793800,24.41549180,0,8.16956,-255,0,-255,0,0,0,0,0,0,0,0
4,86,89,0.0157938,18.5128,0,0,-1.32,54.34793500,24.41550920,0,8.16956,-255,0,-255,0,0,0,0,0,0,0,0
5,86,89,0.0177523,12.7817,0,0,-1.16,54.34793200,24.41552660,0,8.16956,-255,0,-255,0,0,0,0,0,0,0,0
6,86,89,0.0197108,7.05057,0,0,-1,54.34792900,24.41554400,0,8.16956,-255,0,-255,0,0,0,0,0,0,0,0
7,86,89,0.0293934,34.8574,0,0,-1.6,54.34791400,24.41563000,0,-6.19667,-255,0,-255,0,0,0,0,0,0,0,0
8,85,92,0.0340786,25.862,0,0,-1.8,54.34790600,24.41567150,0,-4.26881,-255,0,-255,0,0,0,0,0,0,0,0
9,85,92,0.0387637,16.8665,0,0,-2,54.34789800,24.41571300,0,-4.26881,-255,0,-255,0,0,0,0,0,0,0,0
10,83,92,0.0437155,17.1065,0,0,-1.9,54.34789250,24.41575725,0,2.41,-255,0,-255,0,0,0,0,0,0,0,0
11,83,92,0.0486673,17.3465,0,0,-1.8,54.34788700,24.41580150,0,3.01524,-255,0,-255,0,0,0,0,0,0,0,0
12,83,92,0.0536191,17.5865,0,0,-1.7,54.34788150,24.41584575,0,2.40023,-255,0,-255,0,0,0,0,0,0,0,0
13,83,92,0.0585709,17.8264,0,0,-1.6,54.34787600,24.41589000,0,1.78523,-255,0,-255,0,0,0,0,0,0,0,0
14,85,95,0.0637046,18.0448,0,0,-1.53333,54.34787167,24.41593600,0,1.09813,-255,0,-255,0,0,0,0,0,0,0,0
15,85,95,0.0688384,18.2631,0,0,-1.46667,54.34786733,24.41598200,0,0.411034,-255,0,-255,0,0,0,0,0,0,0,0
16,85,95,0.0739721,18.4815,0,0,-1.4,54.34786300,24.41602800,0,-0.276062,-255,0,-255,0,0,0,0,0,0,0,0
17,85,99,0.0790258,18.1934,0,0,-1,54.34785600,24.41607300,0,1.1351,-255,0,-255,0,0,0,0,0,0,0,0
18,85,102,0.0840221,17.9865,0,0,-0.8,54.34784600,24.41611700,0,1.96228,-255,0,-255,0,0,0,0,0,0,0,0
19,85,106,0.0888716,17.4582,0,0,-1,54.34783800,24.41616000,0,1.97675,-255,0,-255,0,0,0,0,0,0,0,0
20,85,106,0.0935646,16.895,0,0,-1,54.34782700,24.41620100,0,1.7748,-255,0,-255,0,0,0,0,0,0,0,0
21,85,112,0.098498,17.76,0,0,-1.2,54.34781500,24.41624400,0,1.16745,-255,0,-255,0,0,0,0,0,0,0,0
22,84,116,0.103201,17.3459,0,0,-1.2,54.34780950,24.41628600,0,0.965505,-255,0,-255,0,0,0,0,0,0,0,0
23,84,116,0.107905,16.9318,0,0,-1.2,54.34780400,24.41632800,0,0.763558,-255,0,-255,0,0,0,0,0,0,0,0
24,82,119,0.112204,16.4473,0,0,-1.26667,54.34780400,24.41636667,0,0.478643,-255,0,-255,0,0,0,0,0,0,0,0
25,82,119,0.116504,15.9628,0,0,-1.33333,54.34780400,24.41640533,0,0.193728,-255,0,-255,0,0,0,0,0,0,0,0
26,82,119,0.120803,15.4783,0,0,-1.4,54.34780400,24.41644400,0,-0.0911871,-255,0,-255,0,0,0,0,0,0,0,0
27,80,122,0.125142,15.5254,0,0,-1.33333,54.34781200,24.41648233,0,-0.72903,-255,0,-255,0,0,0,0,0,0,0,0
28,80,122,0.129481,15.5725,0,0,-1.26667,54.34782000,24.41652067,0,-0.975676,-255,0,-255,0,0,0,0,0,0,0,0
29,80,122,0.133819,15.6195,0,0,-1.2,54.34782800,24.41655900,0,-0.409609,-255,0,-255,0,0,0,0,0,0,0,0
30,81,124,0.138049,15.4885,0,0,-1.26667,54.34783600,24.41659633,0,-0.56723,-255,0,-255,0,0,0,0,0,0,0,0
31,81,124,0.142279,15.3575,0,0,-1.33333,54.34784400,24.41663367,0,-0.319446,-255,0,-255,0,0,0,0,0,0,0,0
32,81,124,0.146508,15.2264,0,0,-1.4,54.34785200,24.41667100,0,-0.477066,-255,0,-255,0,0,0,0,0,0,0,0
33,81,127,0.151122,15.6876,0,0,-1.4,54.34785600,24.41671233,0,-0.477066,-255,0,-255,0,0,0,0,0,0,0,0
34,81,127,0.155736,16.1488,0,0,-1.4,54.34786000,24.41675367,0,-0.322011,-255,0,-255,0,0,0,0,0,0,0,0
35,81,127,0.16035,16.6099,0,0,-1.4,54.34786400,24.41679500,0,-0.166956,-255,0,-255,0,0,0,0,0,0,0,0
