secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,107,0.00111828,4.02581,0,0,-3.2,54.43709500,24.53105100,0,-17.8846,-255,0,-255,0,0,0,0,0,0,0,0
2,0,108,0.00304028,6.91921,0,0,-1.8,54.43711400,24.53105100,0,-17.8846,-255,0,-255,0,0,0,0,0,0,0,0
3,83,108,0.00689446,8.31038,0,0,-1.88,54.43715160,24.53105660,0,-2.07567,-255,0,-255,0,0,0,0,0,0,0,0
4,83,108,0.0107486,9.70154,0,0,-1.96,54.43718920,24.53106220,0,-2.07567,-255,0,-255,0,0,0,0,0,0,0,0
5,83,108,0.0146028,11.0927,0,0,-2.04,54.43722680,24.53106780,0,-2.07567,-255,0,-255,0,0,0,0,0,0,0,0
6,83,108,0.018457,12.4839,0,0,-2.12,54.43726440,24.53107340,0,-2.07567,-255,0,-255,0,0,0,0,0,0,0,0
7,83,108,0.0223112,13.875,0,0,-2.2,54.43730200,24.53107900,0,-2.07567,-255,0,-255,0,0,0,0,0,0,0,0
8,84,109,0.0249786,9.60283,0,0,-3.4,54.43732800,24.53108300,0,-2.07567,-255,0,-255,0,0,0,0,0,0,0,0
9,84,108,0.0302447,11.9416,0,0,-3.3,54.43737900,24.53109250,0,1.89894,-255,0,-255,0,0,0,0,0,0,0,0
10,84,108,0.0355108,14.2804,0,0,-3.2,54.43743000,24.53110200,0,-4.44253,-255,0,-255,0,0,0,0,0,0,0,0
11,84,108,0.0407769,16.6192,0,0,-3.1,54.43748100,24.53111150,0,-2.46418,-255,0,-255,0,0,0,0,0,0,0,0
12,84,108,0.046043,18.9579,0,0,-3,54.43753200,24.53112100,0,-0.485826,-255,0,-255,0,0,0,0,0,0,0,0
13,83,108,0.0509199,18.2573,0,0,-3.7,54.43757950,24.53112850,0,-1.71361,-255,0,-255,0,0,0,0,0,0,0,0
14,83,108,0.0557967,17.5566,0,0,-4.4,54.43762700,24.53113600,0,-2.9414,-255,0,-255,0,0,0,0,0,0,0,0
15,83,105,0.0603826,16.5094,0,0,-3.2,54.43767200,24.53114100,0,-0.117141,-255,0,-255,0,0,0,0,0,0,0,0
16,84,105,0.0649834,16.5627,0,0,-3.2,54.43771700,24.53114700,0,0.0904263,-255,0,-255,0,0,0,0,0,0,0,0
17,84,107,0.0696697,16.8709,0,0,-4.2,54.43776300,24.53115200,0,-1.83586,-255,0,-255,0,0,0,0,0,0,0,0
