secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,106,0.0116931,42.0953,0,0,11.6,54.43659100,24.52674100,0,-5.13122,-255,0,-255,0,0,0,0,0,0,0,0
2,83,117,0.013403,36.1053,0,0,11.6333,54.43657450,24.52674433,0,1.94952,-255,0,-255,0,0,0,0,0,0,0,0
3,83,117,0.0151128,30.1153,0,0,11.6667,54.43655800,24.52674767,0,1.94952,-255,0,-255,0,0,0,0,0,0,0,0
4,83,117,0.0168226,24.1253,0,0,11.7,54.43654150,24.52675100,0,1.94952,-255,0,-255,0,0,0,0,0,0,0,0
5,83,117,0.0185324,18.1353,0,0,11.7333,54.43652500,24.52675433,0,1.94952,-255,0,-255,0,0,0,0,0,0,0,0
6,83,117,0.0202422,12.1453,0,0,11.7667,54.43650850,24.52675767,0,1.94952,-255,0,-255,0,0,0,0,0,0,0,0
7,83,117,0.0219521,6.15536,0,0,11.8,54.43649200,24.52676100,0,1.94952,-255,0,-255,0,0,0,0,0,0,0,0
8,84,121,0.0323098,37.2878,0,0,13,54.43639200,24.52678100,0,11.5856,-255,0,-255,0,0,0,0,0,0,0,0
9,83,125,0.0372648,27.563,0,0,12.3,54.43634650,24.52676450,0,-14.127,-255,0,-255,0,0,0,0,0,0,0,0
10,83,125,0.0422199,17.8381,0,0,11.6,54.43630100,24.52674800,0,-1.01026,-255,0,-255,0,0,0,0,0,0,0,0
11,83,128,0.0472659,18.1658,0,0,11.8,54.43625800,24.52672500,0,-0.10079,-255,0,-255,0,0,0,0,0,0,0,0
12,82,129,0.0522833,18.0625,0,0,12.2,54.43621600,24.52670100,0,0.501488,-255,0,-255,0,0,0,0,0,0,0,0
13,83,133,0.0569255,17.6123,0,0,12,54.43618100,24.52667400,0,-0.124296,-255,0,-255,0,0,0,0,0,0,0,0
14,83,133,0.0615677,17.1621,0,0,11.8,54.43614600,24.52664700,0,-0.75008,-255,0,-255,0,0,0,0,0,0,0,0
15,83,133,0.0662098,16.7118,0,0,11.6,54.43611100,24.52662000,0,-1.37586,-255,0,-255,0,0,0,0,0,0,0,0
16,83,136,0.0704404,15.971,0,0,11.6,54.43608600,24.52658950,0,-1.57082,-255,0,-255,0,0,0,0,0,0,0,0
17,83,136,0.074671,15.2301,0,0,11.6,54.43606100,24.52655900,0,-1.76577,-255,0,-255,0,0,0,0,0,0,0,0
18,80,138,0.0787809,15.1432,0,0,11.6,54.43605280,24.52652280,0,-2.92432,-255,0,-255,0,0,0,0,0,0,0,0
19,80,138,0.0828907,15.0563,0,0,11.6,54.43604460,24.52648660,0,-1.51162,-255,0,-255,0,0,0,0,0,0,0,0
20,80,138,0.0870006,14.9693,0,0,11.6,54.43603640,24.52645040,0,-0.0989177,-255,0,-255,0,0,0,0,0,0,0,0
21,80,138,0.0911104,14.8824,0,0,11.6,54.43602820,24.52641420,0,-0.495266,-255,0,-255,0,0,0,0,0,0,0,0
22,80,138,0.0952202,14.7954,0,0,11.6,54.43602000,24.52637800,0,-1.2925,-255,0,-255,0,0,0,0,0,0,0,0
23,81,141,0.0996841,15.4327,0,0,11.6,54.43603250,24.52633950,0,-0.861664,-255,0,-255,0,0,0,0,0,0,0,0
24,81,141,0.104148,16.0699,0,0,11.6,54.43604500,24.52630100,0,-0.430832,-255,0,-255,0,0,0,0,0,0,0,0
25,81,142,0.109211,16.7884,0,0,11.6,54.43607467,24.52626433,0,0,-255,0,-255,0,0,0,0,0,0,0,0
26,81,142,0.114273,17.5069,0,0,11.6,54.43610433,24.52622767,0,0,-255,0,-255,0,0,0,0,0,0,0,0
27,81,142,0.119336,18.2254,0,0,11.6,54.43613400,24.52619100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
28,81,146,0.124081,17.9965,0,0,11.6,54.43616920,24.52616280,0,0,-255,0,-255,0,0,0,0,0,0,0,0
29,81,146,0.128825,17.7677,0,0,11.6,54.43620440,24.52613460,0,0,-255,0,-255,0,0,0,0,0,0,0,0
30,81,146,0.13357,17.5388,0,0,11.6,54.43623960,24.52610640,0,0,-255,0,-255,0,0,0,0,0,0,0,0
31,81,146,0.138315,17.3099,0,0,11.6,54.43627480,24.52607820,0,0,-255,0,-255,0,0,0,0,0,0,0,0
32,81,146,0.14306,17.0811,0,0,11.6,54.43631000,24.52605000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
33,81,152,0.148,17.7858,0,0,11.6,54.43634700,24.52602100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
34,81,154,0.15273,17.0263,0,0,11.6,54.43638400,24.52599500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
35,81,157,0.157327,16.9313,0,0,11.56,54.43642020,24.52597000,0,-0.0870008,-255,0,-255,0,0,0,0,0,0,0,0
36,81,157,0.161925,16.8364,0,0,11.52,54.43645640,24.52594500,0,-0.174002,-255,0,-255,0,0,0,0,0,0,0,0
37,81,157,0.166522,16.7414,0,0,11.48,54.43649260,24.52592000,0,-0.261002,-255,0,-255,0,0,0,0,0,0,0,0
38,81,157,0.17112,16.6465,0,0,11.44,54.43652880,24.52589500,0,-0.348003,-255,0,-255,0,0,0,0,0,0,0,0
39,81,157,0.175718,16.5516,0,0,11.4,54.43656500,24.52587000,0,-0.435004,-255,0,-255,0,0,0,0,0,0,0,0
40,81,155,0.18055,16.8332,0,0,11.3333,54.43660300,24.52584367,0,-0.572963,-255,0,-255,0,0,0,0,0,0,0,0
41,81,155,0.185382,17.1148,0,0,11.2667,54.43664100,24.52581733,0,-0.710922,-255,0,-255,0,0,0,0,0,0,0,0
42,81,155,0.190215,17.3965,0,0,11.2,54.43667900,24.52579100,0,-0.848882,-255,0,-255,0,0,0,0,0,0,0,0
43,82,156,0.195043,17.3933,0,0,11.24,54.43671620,24.52576380,0,-0.766032,-255,0,-255,0,0,0,0,0,0,0,0
44,82,156,0.199871,17.3902,0,0,11.28,54.43675340,24.52573660,0,-0.683182,-255,0,-255,0,0,0,0,0,0,0,0
45,82,156,0.204699,17.3871,0,0,11.32,54.43679060,24.52570940,0,-0.513331,-255,0,-255,0,0,0,0,0,0,0,0
46,82,156,0.209527,17.3839,0,0,11.36,54.43682780,24.52568220,0,-0.34348,-255,0,-255,0,0,0,0,0,0,0,0
47,82,156,0.214355,17.3808,0,0,11.4,54.43686500,24.52565500,0,-0.173629,-255,0,-255,0,0,0,0,0,0,0,0
48,82,156,0.219148,17.2567,0,0,11.4,54.43690900,24.52563900,0,-0.0866282,-255,0,-255,0,0,0,0,0,0,0,0
49,84,158,0.223519,16.952,0,0,11.44,54.43695220,24.52563920,0,0.0919001,-255,0,-255,0,0,0,0,0,0,0,0
50,84,158,0.227889,16.6472,0,0,11.48,54.43699540,24.52563940,0,0.321387,-255,0,-255,0,0,0,0,0,0,0,0
51,84,158,0.232259,16.3425,0,0,11.52,54.43703860,24.52563960,0,0.550873,-255,0,-255,0,0,0,0,0,0,0,0
52,84,158,0.236629,16.0377,0,0,11.56,54.43708180,24.52563980,0,0.78036,-255,0,-255,0,0,0,0,0,0,0,0
